Log Name,File Name,feat_Nodes,feat_Active,feat_LPit/n,feat_IntInf,feat_Gap,feat_Time,feat_pre_row,feat_pre_columns,feat_preinteger,feat_DualInitialGap,feat_PrimalDualGap,feat_PrimalInitialGap,feat_GapClosed,feat_Rows,feat_Columns,feat_Nonzeros,feat_per_i,feat_per_b,feat_has_varlb,feat_has_varub,feat_Equality,feat_GreaterThan,feat_LessThan,feat_PAR,feat_PAC,feat_COV,feat_CAR,feat_EQK,feat_BIN,feat_KNA,feat_IKN,feat_M01,feat_MI,feat_CON,feat_RHS_dynamic,feat_obj_dynamic,feat_Coe_dynamic
test13183895.run000.10teams.log,10teams,319.0,0.0,119.2,109.0,0.00%,2.2,5.3471075307174685,7.3777589082278725,0.0,1.0,0.0,1.0,1.0,11.15363281210484,10.581571855419028,7.63465603312891e-05,0.2001675041876046,0.7998324958123953,1.0,1.0,0.1768623687640546,0.8231376312359454,0.0,0.0021484738673961,0.0077345059226262,0.0,0.0,0.0820717017345345,0.3703968947391036,0.4445192431642723,0.0004869874099431,0.0,0.0788919604107882,0.0137502327513356,0.6931471805599453,3.355735007585398,0.0
test13183895.run001.22433.log,22433,1.0,0.0,405.0,124.0,0.00%,0.26,5.288267030694535,5.442417710521793,0.0,1.0,0.0,1.0,1.0,8.120886021092838,8.796641458940915,0.0005945303210463,0.0,0.5,1.0,0.5,0.0172413793103448,0.9827586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9827586206896552,0.0,0.0172413793103448,5.733156331456123,3.2724165917962305,6.961296045910167
test13183895.run002.23588.log,23588,743.0,0.0,15.0,28.0,0.00%,0.82,4.919980925828125,5.4638318050256105,0.0211864406779661,1.0,0.0,1.0,1.0,7.473637108496206,9.55400099583723,0.0117175269304221,0.0,1.0,1.0,1.0,0.0,0.6882453151618398,0.3117546848381601,0.0,0.6882453151618398,0.0403180011357183,0.0,0.0,0.2646223736513344,0.0068143100511073,0.0,0.0,0.0,0.0,5.39398633365514,3.852803645768175,5.64456311499623
test13183895.run003.2club200v15p5scn.log,2club200v15p5scn,212284.0,45240.0,71.4,80.0,34.2%,7200.0,9.740850969058572,5.298317366548036,0.0,1.0,0.34156378600823045,1.0,0.6584362139917695,8.628197749459149,9.754581429281576,0.001307581967743,0.0,0.10770034236639,0.9989554923692916,0.8691464051529043,0.1646679792375156,0.7547879004832647,0.0805441202792196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8448183282620368,0.0,0.1551816717379631,0.0,0.0,0.0
test13183895.run004.30_70_45_05_100.log,30_70_45_05_100,1.0,0.0,14359.0,0.0,0.00%,11.35,9.392245175273795,9.281916570465405,0.0,1.0,0.0,1.0,1.0,7.120444372392488,8.411832675758411,0.0084074373484236,0.0,1.0,1.0,1.0,0.0,0.9264349232012936,0.0735650767987065,0.0,0.9215844785772028,0.0735650767987065,0.0,0.0,0.0,0.0048504446240905,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0
test13183895.run005.30_70_45_095_100.log,30_70_45_095_100,1.0,0.0,16573.0,0.0,0.00%,16.28,9.434203664214742,9.302098797215724,9.123255177447313e-05,1.0,0.0,1.0,1.0,3.828641396489095,3.367295829986474,0.9767616191904048,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3862943611198906,0.0
test13183895.run006.30_70_45_095_98.log,30_70_45_095_98,1.0,0.0,0.0,2633.0,0.00%,4.96,9.42512911890764,9.297526733655099,0.0,1.0,0.0,1.0,1.0,11.114848000895991,11.106640020478162,5.955837465195575e-05,0.0,0.5,1.0,0.5,0.0081743869209809,0.9918256130790192,0.0,0.0054495912806539,0.4959128065395095,0.0,0.0,0.0,0.0,0.0,0.0,0.4959128065395095,0.0,0.0027247956403269,0.0,1.791759469228055,0.0
test13183895.run007.30n20b8.log,30n20b8,1.0,1.0,13722.0,103.0,0.00%,2.01,5.932245187448011,8.321907968230423,0.011670313639679067,1.0,0.0,1.0,1.0,11.8808825258086,10.697316821961982,0.0001145231892373,0.0,0.9993218346632908,1.0,0.9993218346632908,0.0,0.9996885338944338,0.0003114661055662,0.0,0.0001038220351887,0.0,0.0,0.0,0.0116280679411398,0.0001038220351887,0.0,0.9881642879884828,0.0,0.0,-4.852030263919617,0.6733445532637655,4.976733742420574
test13183895.run008.50v-10.log,50v-10,219185.0,0.0,51.3,122.0,0.00%,619.0,5.4510384535657,7.607381425639791,0.09090909090909091,1.0,0.0,1.0,1.0,7.68937110752969,8.436416881388949,0.0011169747212028,0.0,1.0,1.0,1.0,0.5153318077803204,0.0004576659038901,0.4842105263157895,0.0,0.0,0.0,0.0311212814645308,0.4842105263157895,0.0,0.4846681922196796,0.0,0.0,0.0,0.0,2.6309241979069813,6.080723399420157,-5.375278407684165
test13183895.run009.8div-n59k10.log,8div-n59k10,19037.0,548.0,850.2,1642.0,Inf,7200.0,7.62608275807238,8.53817159780143,0.00019584802193497845,1.0,0.0,0.0,0.0,6.115892125483034,9.003316202541857,0.0056852091699724,0.011070110701107,0.988929889298893,0.992619926199262,0.992619926199262,0.5982339955849889,0.401766004415011,0.0,0.1324503311258278,0.401766004415011,0.0,0.0,0.0022075055187637,0.0,0.0,0.0,0.0,0.1324503311258278,0.3311258278145695,41.22121455452939,0.0,-2.079441541679836
test13183895.run010.8div-n59k11.log,8div-n59k11,319.0,295.0,13194.0,3563.0,Inf,7200.0,8.319229938632326,9.41531995266272,0.00032586558044806515,1.0,0.0,0.0,0.0,3.367295829986474,5.236441962829949,0.0689655172413793,0.8723404255319149,0.1276595744680851,1.0,1.0,0.0,0.5862068965517241,0.4137931034482758,0.0,0.0689655172413793,0.0,0.0,0.0,0.0,0.0,0.5172413793103449,0.4137931034482758,0.0,0.0,-5.248445536507863,0.0,-0.4054651081081648
test13183895.run011.8div-n59k12.log,8div-n59k12,7.0,6.0,17794.0,7461.0,Inf,7210.0,9.011645501064283,10.10895581217033,0.0001628531878511522,1.0,0.0,0.0,0.0,8.09559870137819,8.464003362902119,0.0369654184308137,0.0,0.4619278633199747,1.0,0.5387049145749842,0.3338414634146341,0.6661585365853658,0.0,0.0,0.111280487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.2219512195121951,0.0,0.6667682926829268,-5.245714223984517,0.0,-0.4054651081081648
test13183895.run012.a1c1s1.log,a1c1s1,34130.0,0.0,171.3,106.0,0.00%,245.0,7.708410667257367,7.818832443803404,0.0,1.0,0.0,1.0,1.0,1.3862943611198906,3.5263605246161616,0.9044117647058824,0.0,0.8823529411764706,1.0,0.8823529411764706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.933674252960127,2.2118307297255817,2.407945608651872
test13183895.run013.a2c1s1.log,a2c1s1,45525.0,0.0,135.8,105.0,0.00%,262.0,7.697121317282625,7.806696372521179,0.0,1.0,0.0,1.0,1.0,12.627840800487595,13.328162174376384,1.8231040189521614e-05,0.0075897065215798,0.99241029347842,1.0,0.99241029347842,0.7018768180342438,0.1890132521783616,0.1091099297873945,0.0204505281522705,0.1047384490261731,0.0,0.0062112412316228,0.6603428316569978,0.0026530592166752,0.1601870587116429,0.0,0.0,9.838291285569522e-06,0.0454069937133318,4.779523573132869,3.128121461599737,2.302585092994046
test13183895.run014.ab51-40-100.log,ab51-40-100,4.0,0.0,4296.0,195.0,0.00%,8.5,8.385260520155413,9.161570207606754,0.0,1.0,0.0,1.0,1.0,7.068172000388042,7.575584651557793,0.002129471890971,0.0,0.5,1.0,1.0,0.0851788756388415,0.9148211243611584,0.0,0.0,0.0843270868824531,0.0,0.0,0.0,0.0,0.0,0.0,0.8304940374787053,0.0,0.0851788756388415,0.0,-15.21127385735384,0.0
test13183895.run015.ab67-40-100.log,ab67-40-100,1.0,0.0,4761.0,259.0,0.00%,2.59,8.400209835930418,9.20522732258936,0.0,1.0,0.0,1.0,1.0,10.935960038699692,12.173161982072914,5.401916976648924e-05,0.5232915643973647,0.4282650820307453,1.0,0.9758170778969124,0.9166666666666666,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032229344729344,0.0,0.0032229344729344,0.993554131054131,0.0,-11.250160905022538,0.0
test13183895.run016.ab69-40-100.log,ab69-40-100,1.0,0.0,6402.0,223.0,0.00%,2.66,8.377011160816375,9.18296917518005,0.0,1.0,0.0,1.0,1.0,6.212606095751519,10.017441042611972,0.0153814365592074,0.8058356384402605,0.0,1.0,0.0,0.5450901803607214,0.4509018036072144,0.0040080160320641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1823647294589178,0.0,0.2705410821643286,0.5470941883767535,0.0,-10.762141414898723,0.0
test13183895.run017.ab71-20-100.log,ab71-20-100,1.0,0.0,12058.0,253.0,0.00%,4.17,7.786136437783072,8.581294116822761,0.0,1.0,0.0,1.0,1.0,8.460622839927844,9.064620717626775,0.0005887926665344,1.0,0.0,1.0,1.0,0.9987301587301588,0.0012698412698412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-10.762141414898723,0.0
