File Name,default,TreeCutLevel-1,RootCutLevel-1,StrongBranching-1
train_150_32_instance_188,0.15,0.15,0.15,0.15
train_150_32_instance_1945,0.13,0.13,0.13,0.13
train_150_32_instance_1981,0.14,0.15,0.15,0.15
train_150_32_instance_199,0.1,0.1,0.1,0.1
train_150_32_instance_2005,0.16,0.14,0.16,0.16
train_150_32_instance_2048,0.11,0.13,0.12,0.11
train_150_32_instance_205,0.12,0.12,0.13,0.13
train_150_32_instance_2165,0.22,0.21,0.19,0.21
train_150_32_instance_2181,0.18,0.17,0.2,0.17
train_150_32_instance_2185,0.15,0.15,0.16,0.15
train_150_32_instance_2228,0.16,0.16,0.17,0.16
train_150_32_instance_2229,0.1,0.14,0.14,0.14
train_150_32_instance_2263,0.19,0.21,0.23,0.19
train_150_32_instance_2288,0.12,0.1,0.13,0.13
train_150_32_instance_2391,0.19,0.16,0.17,0.18
train_150_32_instance_2454,0.2,0.17,0.18,0.19
train_150_32_instance_2474,0.12,0.12,0.12,0.12
train_150_32_instance_2482,0.12,0.12,0.12,0.11
train_150_32_instance_2545,0.13,0.14,0.13,0.14
train_150_32_instance_2576,0.13,0.12,0.12,0.12
train_150_32_instance_2615,0.14,0.14,0.14,0.14
train_150_32_instance_2623,0.15,0.15,0.15,0.16
train_150_32_instance_2640,0.13,0.13,0.13,0.14
train_150_32_instance_2643,0.15,0.16,0.16,0.16
train_150_32_instance_2653,0.17,0.17,0.16,0.17
train_150_32_instance_2718,0.23,0.19,0.23,0.22
train_150_32_instance_2767,0.16,0.16,0.2,0.18
train_150_32_instance_2786,0.13,0.13,0.12,0.13
train_150_32_instance_279,0.19,0.16,0.19,0.19
train_150_32_instance_2851,0.17,0.16,0.17,0.17
train_150_32_instance_2863,0.12,0.12,0.11,0.12
train_150_32_instance_2888,0.12,0.12,0.12,0.13
train_150_32_instance_2985,0.21,0.22,0.22,0.22
train_150_32_instance_3053,0.13,0.13,0.12,0.14
train_150_32_instance_3096,0.16,0.15,0.17,0.19
train_150_32_instance_3115,0.13,0.14,0.14,0.14
train_150_32_instance_3127,0.24,0.25,0.21,0.21
train_150_32_instance_315,0.19,0.19,0.19,0.19
train_150_32_instance_3155,0.12,0.12,0.12,0.12
train_150_32_instance_3159,0.18,0.19,0.2,0.19
train_150_32_instance_321,0.18,0.18,0.18,0.16
train_150_32_instance_3218,0.18,0.18,0.18,0.18
train_150_32_instance_3221,0.19,0.19,0.2,0.2
train_150_32_instance_3244,0.2,0.2,0.17,0.19
train_150_32_instance_3263,0.13,0.12,0.12,0.12
train_150_32_instance_3266,0.17,0.17,0.18,0.18
train_150_32_instance_3283,0.13,0.12,0.13,0.13
train_150_32_instance_3300,0.13,0.14,0.13,0.12
train_150_32_instance_3335,0.21,0.22,0.22,0.22
train_150_32_instance_3374,0.13,0.11,0.11,0.12
train_150_32_instance_3412,0.16,0.17,0.17,0.17
train_150_32_instance_3422,0.12,0.13,0.13,0.12
train_150_32_instance_3499,0.12,0.12,0.12,0.12
train_150_32_instance_3520,0.15,0.17,0.17,0.17
train_150_32_instance_3613,0.2,0.2,0.19,0.2
train_150_32_instance_3621,0.14,0.13,0.12,0.13
train_150_32_instance_367,0.2,0.19,0.2,0.19
train_150_32_instance_3671,0.11,0.11,0.11,0.11
train_150_32_instance_3691,0.13,0.11,0.13,0.12
train_150_32_instance_3752,0.19,0.19,0.19,0.19
train_150_32_instance_3770,0.18,0.21,0.21,0.19
train_150_32_instance_3786,0.15,0.14,0.14,0.14
train_150_32_instance_382,0.13,0.13,0.12,0.13
train_150_32_instance_3839,0.13,0.12,0.13,0.11
train_150_32_instance_3851,0.1,0.1,0.1,0.1
train_150_32_instance_3883,0.17,0.17,0.18,0.17
train_150_32_instance_3927,0.13,0.13,0.13,0.14
train_150_32_instance_3940,0.21,0.22,0.22,0.19
train_150_32_instance_3999,0.13,0.12,0.12,0.12
train_150_32_instance_495,0.18,0.18,0.18,0.18
train_150_32_instance_532,0.11,0.12,0.12,0.12
train_150_32_instance_541,0.2,0.18,0.19,0.16
train_150_32_instance_549,0.19,0.19,0.19,0.19
train_150_32_instance_556,0.18,0.18,0.19,0.17
train_150_32_instance_627,0.13,0.13,0.13,0.13
train_150_32_instance_65,0.15,0.19,0.17,0.17
train_150_32_instance_652,0.18,0.17,0.17,0.18
train_150_32_instance_712,0.15,0.16,0.16,0.15
train_150_32_instance_719,0.12,0.12,0.12,0.12
train_150_32_instance_743,0.2,0.21,0.2,0.19
train_150_32_instance_801,0.17,0.17,0.15,0.16
train_150_32_instance_878,0.12,0.12,0.13,0.12
train_150_32_instance_886,0.21,0.2,0.22,0.2
train_150_32_instance_936,0.13,0.13,0.13,0.13
train_150_32_instance_97,0.14,0.14,0.14,0.1
train_150_32_instance_980,0.18,0.19,0.19,0.18
train_150_32_instance_985,0.17,0.17,0.17,0.18
train_150_4_instance_1018,0.03,0.03,0.03,0.03
train_150_4_instance_1038,0.11,0.11,0.11,0.12
train_150_4_instance_1059,0.1,0.11,0.11,0.11
train_150_4_instance_1078,0.04,0.04,0.03,0.04
train_150_4_instance_1121,0.08,0.09,0.09,0.08
train_150_4_instance_1158,0.07,0.07,0.07,0.06
train_150_4_instance_1182,0.03,0.03,0.03,0.03
train_150_4_instance_1249,0.15,0.13,0.16,0.13
train_150_4_instance_1260,0.08,0.07,0.08,0.08
train_150_4_instance_1269,0.06,0.07,0.07,0.08
train_150_4_instance_127,0.12,0.19,0.13,0.13
train_150_4_instance_1283,0.03,0.03,0.02,0.03
train_150_4_instance_1287,0.03,0.03,0.03,0.03
train_150_4_instance_1316,0.1,0.1,0.09,0.1
train_150_4_instance_1371,0.08,0.07,0.1,0.08
train_150_4_instance_1437,0.08,0.09,0.09,0.09
train_150_4_instance_1480,0.12,0.11,0.11,0.13
train_150_4_instance_1493,0.09,0.08,0.08,0.08
train_150_4_instance_1494,0.09,0.09,0.08,0.09
train_150_4_instance_1497,0.06,0.09,0.09,0.09
train_150_4_instance_1502,0.13,0.13,0.11,0.13
train_150_4_instance_1556,0.1,0.08,0.1,0.1
train_150_4_instance_1575,0.1,0.1,0.07,0.09
train_150_4_instance_1622,0.09,0.1,0.1,0.11
train_150_4_instance_164,0.03,0.03,0.03,0.03
train_150_4_instance_1653,0.08,0.08,0.08,0.07
train_150_4_instance_1704,0.28,0.22,0.21,0.24
train_150_4_instance_1713,0.12,0.1,0.09,0.11
train_150_4_instance_1877,0.07,0.07,0.07,0.08
train_150_4_instance_1923,0.07,0.07,0.07,0.06
train_150_4_instance_1996,0.11,0.1,0.09,0.11
train_150_4_instance_2061,0.1,0.1,0.09,0.1
train_150_4_instance_2191,0.03,0.02,0.03,0.03
train_150_4_instance_2196,0.08,0.08,0.08,0.06
train_150_4_instance_2312,0.07,0.08,0.09,0.09
train_150_4_instance_2358,0.07,0.07,0.06,0.07
train_150_4_instance_2450,0.17,0.15,0.08,0.13
train_150_4_instance_2483,0.09,0.09,0.09,0.09
train_150_4_instance_249,0.08,0.07,0.09,0.07
train_150_4_instance_2521,0.11,0.14,0.12,0.12
train_150_4_instance_2558,0.13,0.13,0.13,0.12
train_150_4_instance_257,0.07,0.07,0.06,0.07
train_150_4_instance_2570,0.14,0.17,0.15,0.13
train_150_4_instance_2603,0.09,0.08,0.1,0.09
train_150_4_instance_2633,0.08,0.09,0.09,0.09
train_150_4_instance_2690,0.03,0.03,0.03,0.03
train_150_4_instance_2731,0.04,0.03,0.03,0.03
train_150_4_instance_2742,0.1,0.11,0.1,0.1
train_150_4_instance_2758,0.13,0.12,0.11,0.13
train_150_4_instance_2772,0.08,0.08,0.06,0.09
train_150_4_instance_2793,0.07,0.07,0.08,0.07
train_150_4_instance_280,0.07,0.06,0.07,0.07
train_150_4_instance_2840,0.14,0.14,0.14,0.14
train_150_4_instance_2898,0.08,0.07,0.09,0.08
train_150_4_instance_2932,0.13,0.12,0.13,0.13
train_150_4_instance_2933,0.11,0.09,0.12,0.11
train_150_4_instance_2956,0.07,0.07,0.07,0.08
train_150_4_instance_2973,0.1,0.1,0.09,0.11
train_150_4_instance_2978,0.14,0.14,0.15,0.13
train_150_4_instance_3003,0.1,0.1,0.09,0.1
train_150_4_instance_3040,0.03,0.03,0.03,0.03
train_150_4_instance_3054,0.09,0.09,0.09,0.09
train_150_4_instance_3059,0.17,0.15,0.16,0.18
train_150_4_instance_3087,0.04,0.04,0.04,0.04
train_150_4_instance_3127,0.08,0.09,0.05,0.08
train_150_4_instance_3154,0.03,0.03,0.03,0.03
train_150_4_instance_3186,0.08,0.08,0.09,0.08
train_150_4_instance_3214,0.1,0.11,0.13,0.11
train_150_4_instance_324,0.09,0.09,0.11,0.08
train_150_4_instance_3252,0.1,0.08,0.1,0.09
train_150_4_instance_3284,0.08,0.09,0.09,0.1
train_150_4_instance_3378,0.03,0.03,0.03,0.03
train_150_4_instance_3462,0.04,0.05,0.04,0.04
train_150_4_instance_3495,0.13,0.12,0.14,0.14
train_150_4_instance_3497,0.03,0.03,0.03,0.03
train_150_4_instance_3545,0.16,0.14,0.13,0.16
train_150_4_instance_3556,0.12,0.13,0.11,0.13
train_150_4_instance_3561,0.03,0.03,0.03,0.03
train_150_4_instance_3583,0.14,0.14,0.12,0.14
train_150_4_instance_3614,0.07,0.07,0.08,0.08
train_150_4_instance_3684,0.08,0.09,0.08,0.07
train_150_4_instance_3695,0.03,0.03,0.03,0.03
train_150_4_instance_3718,0.03,0.03,0.03,0.03
train_150_4_instance_3778,0.03,0.03,0.03,0.03
train_150_4_instance_3781,0.1,0.11,0.11,0.1
train_150_4_instance_3807,0.17,0.13,0.14,0.14
train_150_4_instance_3812,0.08,0.07,0.06,0.07
train_150_4_instance_383,0.09,0.1,0.09,0.1
train_150_4_instance_3859,0.08,0.09,0.08,0.09
train_150_4_instance_3900,0.15,0.17,0.12,0.16
train_150_4_instance_40,0.12,0.14,0.13,0.12
train_150_4_instance_447,0.08,0.08,0.08,0.08
train_150_4_instance_463,0.09,0.1,0.08,0.08
train_150_4_instance_520,0.1,0.11,0.09,0.1
train_150_4_instance_621,0.03,0.03,0.03,0.04
train_150_4_instance_67,0.08,0.08,0.07,0.07
train_150_4_instance_673,0.08,0.09,0.09,0.09
train_150_4_instance_706,0.11,0.1,0.1,0.1
train_150_4_instance_782,0.07,0.06,0.06,0.07
train_150_4_instance_82,0.04,0.03,0.03,0.03
train_150_4_instance_828,0.11,0.11,0.11,0.11
train_150_4_instance_829,0.07,0.07,0.07,0.08
train_150_4_instance_889,0.11,0.11,0.1,0.11
train_150_4_instance_896,0.07,0.07,0.07,0.07
train_150_4_instance_935,0.13,0.14,0.13,0.12
train_150_4_instance_975,0.07,0.07,0.07,0.07
train_150_64_instance_10,0.12,0.11,0.12,0.13
train_150_64_instance_1019,0.15,0.14,0.14,0.14
train_150_64_instance_1020,0.09,0.09,0.1,0.1
train_150_64_instance_1069,0.11,0.12,0.11,0.13
train_150_64_instance_1081,0.11,0.1,0.1,0.08
train_150_64_instance_1141,0.12,0.12,0.12,0.12
train_150_64_instance_1145,0.12,0.12,0.12,0.12
train_150_64_instance_1196,0.15,0.14,0.14,0.14
train_150_64_instance_1244,0.13,0.12,0.12,0.12
train_150_64_instance_1278,0.14,0.14,0.14,0.13
train_150_64_instance_1329,0.12,0.13,0.11,0.13
train_150_64_instance_1354,0.15,0.13,0.14,0.14
train_150_64_instance_1441,0.16,0.16,0.16,0.16
train_150_64_instance_1467,0.14,0.15,0.14,0.14
train_150_64_instance_1504,0.16,0.14,0.14,0.14
train_150_64_instance_1524,0.14,0.14,0.15,0.14
train_150_64_instance_1585,0.12,0.12,0.09,0.12
train_150_64_instance_1696,0.12,0.12,0.11,0.12
train_150_64_instance_1739,0.12,0.13,0.13,0.13
train_150_64_instance_1767,0.12,0.12,0.11,0.12
train_150_64_instance_1817,0.14,0.13,0.15,0.15
train_150_64_instance_1819,0.11,0.11,0.12,0.12
train_150_64_instance_1822,0.09,0.12,0.12,0.12
train_150_64_instance_1832,0.14,0.15,0.14,0.11
train_150_64_instance_1860,0.15,0.14,0.16,0.16
train_150_64_instance_1861,0.13,0.16,0.14,0.14
train_150_64_instance_1880,0.12,0.12,0.12,0.13
train_150_64_instance_1987,0.12,0.11,0.12,0.11
train_150_64_instance_1988,0.12,0.12,0.12,0.12
train_150_64_instance_2007,0.12,0.13,0.12,0.13
train_150_64_instance_2032,0.15,0.15,0.15,0.14
train_150_64_instance_2060,0.14,0.15,0.14,0.15
train_150_64_instance_2140,0.11,0.13,0.12,0.12
train_150_64_instance_2149,0.15,0.13,0.14,0.14
train_150_64_instance_2223,0.12,0.13,0.13,0.13
train_150_64_instance_2254,0.15,0.15,0.16,0.14
train_150_64_instance_2334,0.1,0.1,0.1,0.1
train_150_64_instance_2392,0.13,0.12,0.12,0.12
train_150_64_instance_2418,0.13,0.12,0.14,0.14
train_150_64_instance_2427,0.11,0.12,0.12,0.13
train_150_64_instance_2432,0.11,0.09,0.11,0.1
train_150_64_instance_2440,0.12,0.12,0.12,0.13
train_150_64_instance_2455,0.14,0.14,0.14,0.13
train_150_64_instance_2471,0.14,0.14,0.14,0.13
train_150_64_instance_2482,0.14,0.14,0.15,0.14
train_150_64_instance_2517,0.15,0.15,0.15,0.16
train_150_64_instance_2686,0.14,0.13,0.13,0.14
train_150_64_instance_2702,0.12,0.11,0.11,0.11
train_150_64_instance_2771,0.18,0.17,0.17,0.16
train_150_64_instance_2772,0.15,0.15,0.14,0.15
train_150_64_instance_2777,0.12,0.14,0.13,0.13
train_150_64_instance_2794,0.09,0.14,0.14,0.14
train_150_64_instance_2871,0.15,0.1,0.11,0.14
train_150_64_instance_2884,0.14,0.14,0.14,0.15
train_150_64_instance_2998,0.14,0.15,0.16,0.15
train_150_64_instance_3061,0.12,0.13,0.11,0.11
train_150_64_instance_3080,0.12,0.13,0.12,0.13
train_150_64_instance_3146,0.12,0.13,0.13,0.13
train_150_64_instance_3212,0.14,0.13,0.13,0.15
train_150_64_instance_3233,0.13,0.13,0.13,0.14
train_150_64_instance_3240,0.12,0.13,0.12,0.13
train_150_64_instance_3261,0.14,0.14,0.14,0.14
train_150_64_instance_3272,0.12,0.11,0.12,0.11
train_150_64_instance_328,0.12,0.12,0.11,0.12
train_150_64_instance_3344,0.14,0.15,0.14,0.14
train_150_64_instance_3345,0.12,0.12,0.11,0.13
train_150_64_instance_340,0.14,0.16,0.16,0.16
train_150_64_instance_3404,0.08,0.1,0.1,0.1
train_150_64_instance_3443,0.12,0.11,0.13,0.12
train_150_64_instance_3532,0.14,0.11,0.13,0.11
train_150_64_instance_3536,0.14,0.14,0.14,0.14
train_150_64_instance_3565,0.11,0.12,0.12,0.12
train_150_64_instance_3647,0.14,0.13,0.12,0.13
train_150_64_instance_3692,0.13,0.12,0.12,0.12
train_150_64_instance_37,0.13,0.13,0.12,0.14
train_150_64_instance_3719,0.14,0.13,0.14,0.14
train_150_64_instance_3799,0.13,0.13,0.12,0.12
train_150_64_instance_3802,0.12,0.12,0.12,0.12
train_150_64_instance_3819,0.12,0.13,0.13,0.09
train_150_64_instance_3892,0.14,0.14,0.15,0.15
train_150_64_instance_3923,0.15,0.15,0.15,0.15
train_150_64_instance_3943,0.12,0.12,0.12,0.12
train_150_64_instance_477,0.12,0.11,0.12,0.12
train_150_64_instance_522,0.12,0.11,0.11,0.12
train_150_64_instance_53,0.16,0.16,0.15,0.16
train_150_64_instance_585,0.1,0.09,0.11,0.1
train_150_64_instance_590,0.14,0.15,0.15,0.15
train_150_64_instance_639,0.15,0.14,0.15,0.15
train_150_64_instance_709,0.12,0.13,0.13,0.12
train_150_64_instance_71,0.16,0.14,0.14,0.13
train_150_64_instance_787,0.12,0.12,0.12,0.11
train_150_64_instance_853,0.12,0.12,0.12,0.12
train_150_64_instance_859,0.16,0.16,0.15,0.16
train_150_64_instance_9,0.12,0.12,0.12,0.12
train_150_64_instance_900,0.11,0.12,0.11,0.13
train_150_64_instance_928,0.12,0.11,0.12,0.11
train_150_64_instance_973,0.14,0.15,0.14,0.13
train_150_64_instance_984,0.16,0.16,0.16,0.15
train_150_8_instance_1030,0.46,0.49,0.49,0.45
train_150_8_instance_1053,0.68,0.49,0.6,0.68
train_150_8_instance_1078,0.32,0.3,0.27,0.33
train_150_8_instance_1091,0.68,0.56,0.82,0.63
train_150_8_instance_1119,0.44,0.53,0.32,0.47
train_150_8_instance_1148,0.67,0.61,0.6,0.56
train_150_8_instance_1149,0.98,0.74,0.76,0.77
train_150_8_instance_1181,0.68,0.67,0.59,0.68
train_150_8_instance_1194,0.3,0.29,0.24,0.31
train_150_8_instance_1250,0.61,0.64,0.55,0.62
train_150_8_instance_1258,0.66,0.42,0.38,0.5
train_150_8_instance_1310,0.37,0.31,0.27,0.31
train_150_8_instance_1355,0.88,0.55,0.76,0.87
train_150_8_instance_1401,0.37,0.36,0.3,0.37
train_150_8_instance_1411,0.39,0.39,0.35,0.38
train_150_8_instance_1448,0.32,0.45,0.27,0.4
train_150_8_instance_1523,0.43,0.39,0.35,0.47
train_150_8_instance_1525,0.61,0.61,0.62,0.61
train_150_8_instance_1576,0.45,0.49,0.44,0.48
train_150_8_instance_1606,0.41,0.36,0.29,0.41
train_150_8_instance_1607,0.63,0.45,0.52,0.57
train_150_8_instance_1635,0.32,0.31,0.29,0.31
train_150_8_instance_1657,0.43,0.52,0.37,0.54
train_150_8_instance_1679,0.5,0.44,0.4,0.4
train_150_8_instance_1791,0.65,0.57,0.65,0.64
train_150_8_instance_1796,0.33,0.42,0.49,0.32
train_150_8_instance_1813,0.39,0.39,0.32,0.42
train_150_8_instance_1899,0.47,0.41,0.37,0.59
train_150_8_instance_1902,0.64,0.46,0.32,0.62
train_150_8_instance_1965,0.3,0.36,0.35,0.26
train_150_8_instance_208,0.35,0.34,0.26,0.35
train_150_8_instance_2120,0.63,0.61,0.43,0.62
train_150_8_instance_2121,0.48,0.49,0.51,0.47
train_150_8_instance_2162,0.75,0.57,0.76,0.75
train_150_8_instance_2169,0.54,0.41,0.41,0.77
train_150_8_instance_2213,0.29,0.29,0.2,0.29
train_150_8_instance_2222,0.42,0.38,0.32,0.48
train_150_8_instance_2243,0.47,0.42,0.37,0.46
train_150_8_instance_2286,0.63,0.64,0.53,0.56
train_150_8_instance_2303,0.36,0.44,0.44,0.43
train_150_8_instance_2346,0.37,0.42,0.35,0.47
train_150_8_instance_2359,0.33,0.34,0.41,0.37
train_150_8_instance_2386,0.53,0.37,0.33,0.43
train_150_8_instance_2397,0.34,0.36,0.29,0.44
train_150_8_instance_2432,0.42,0.5,0.34,0.43
train_150_8_instance_2473,0.42,0.41,0.42,0.39
train_150_8_instance_2483,0.58,0.44,0.54,0.57
train_150_8_instance_2485,0.5,0.43,0.4,0.39
train_150_8_instance_2498,0.61,0.68,0.45,0.53
train_150_8_instance_2571,0.33,0.25,0.31,0.4
train_150_8_instance_2581,0.56,0.43,0.43,0.58
train_150_8_instance_2587,0.43,0.35,0.33,0.41
train_150_8_instance_2627,0.68,0.55,0.51,0.67
train_150_8_instance_2633,0.53,0.45,0.37,0.43
train_150_8_instance_2712,0.37,0.34,0.33,0.37
train_150_8_instance_2759,0.47,0.42,0.36,0.36
train_150_8_instance_276,0.39,0.32,0.21,0.29
train_150_8_instance_2793,0.61,0.61,0.64,0.68
train_150_8_instance_2813,0.46,0.35,0.34,0.35
train_150_8_instance_2818,0.6,0.58,0.53,0.65
train_150_8_instance_2825,0.6,0.43,0.43,0.73
train_150_8_instance_2844,0.36,0.35,0.26,0.36
train_150_8_instance_2852,0.37,0.28,0.26,0.39
train_150_8_instance_2900,0.29,0.34,0.21,0.29
train_150_8_instance_2956,0.44,0.47,0.44,0.44
train_150_8_instance_3046,0.53,0.45,0.4,0.54
train_150_8_instance_3066,0.47,0.34,0.29,0.62
train_150_8_instance_312,0.42,0.29,0.29,0.4
train_150_8_instance_3179,0.2,0.18,0.16,0.18
train_150_8_instance_3195,0.38,0.39,0.33,0.45
train_150_8_instance_3212,0.46,0.36,0.29,0.46
train_150_8_instance_3219,0.5,0.46,0.42,0.47
train_150_8_instance_3236,0.74,0.56,0.85,0.74
train_150_8_instance_3280,0.51,0.37,0.35,0.46
train_150_8_instance_3283,0.36,0.36,0.33,0.36
train_150_8_instance_3358,0.28,0.4,0.26,0.35
train_150_8_instance_3425,0.46,0.4,0.35,0.48
train_150_8_instance_3428,0.4,0.45,0.34,0.39
train_150_8_instance_3444,0.67,0.66,0.83,0.8
train_150_8_instance_3492,0.59,0.57,0.5,0.58
train_150_8_instance_3513,0.7,0.56,0.56,0.72
train_150_8_instance_3527,0.38,0.31,0.31,0.37
train_150_8_instance_3578,0.66,0.52,0.5,0.57
train_150_8_instance_3643,0.25,0.32,0.31,0.29
train_150_8_instance_3652,0.71,0.54,0.65,0.69
train_150_8_instance_3654,0.46,0.37,0.51,0.48
train_150_8_instance_3672,0.38,0.51,0.32,0.41
train_150_8_instance_3717,0.38,0.43,0.28,0.34
train_150_8_instance_3763,0.46,0.37,0.35,0.48
train_150_8_instance_3795,0.35,0.26,0.3,0.27
train_150_8_instance_3802,0.93,0.97,0.94,1.1
train_150_8_instance_3803,0.47,0.46,0.38,0.57
train_150_8_instance_3815,0.52,0.56,0.49,0.52
train_150_8_instance_3829,0.39,0.46,0.37,0.49
train_150_8_instance_3887,0.63,0.53,0.49,0.62
train_150_8_instance_3903,0.37,0.39,0.33,0.45
train_150_8_instance_3967,0.37,0.35,0.32,0.37
train_150_8_instance_3973,0.41,0.24,0.24,0.3
train_150_8_instance_453,0.74,0.61,0.57,0.67
train_150_8_instance_455,0.32,0.38,0.32,0.42
train_150_8_instance_509,0.35,0.38,0.42,0.36
train_150_8_instance_528,0.59,0.64,0.51,0.74
train_150_8_instance_530,0.41,0.43,0.34,0.39
train_150_8_instance_541,0.62,0.5,0.5,0.54
train_150_8_instance_554,0.51,0.46,0.42,0.51
train_150_8_instance_679,0.5,0.48,0.33,0.51
train_150_8_instance_680,0.47,0.52,0.32,0.52
train_150_8_instance_681,0.48,0.56,0.43,0.49
train_150_8_instance_692,0.36,0.39,0.36,0.43
train_150_8_instance_697,0.34,0.47,0.36,0.44
train_150_8_instance_700,0.56,0.47,0.52,0.49
train_150_8_instance_705,0.43,0.46,0.34,0.5
train_150_8_instance_757,0.38,0.35,0.33,0.36
train_150_8_instance_799,0.38,0.41,0.29,0.34
train_150_8_instance_816,0.23,0.32,0.25,0.24
train_150_8_instance_820,0.49,0.38,0.38,0.63
train_150_8_instance_833,0.49,0.47,0.55,0.47
train_150_8_instance_88,0.5,0.37,0.34,0.47
train_150_8_instance_894,0.34,0.44,0.34,0.31
train_150_8_instance_946,0.68,0.59,0.61,0.55
train_150_8_instance_996,0.44,0.3,0.26,0.35
train_2400_2_instance_1337,0.0,0.0,0.0,0.0
train_2400_2_instance_2029,0.0,0.0,0.0,0.0
train_2400_2_instance_2648,0.01,0.01,0.01,0.01
train_2400_2_instance_2856,0.0,0.0,0.0,0.0
train_2400_2_instance_3286,0.0,0.0,0.0,0.0
train_2400_2_instance_684,0.0,0.0,0.0,0.0
train_2400_2_instance_800,0.0,0.0,0.0,0.0
train_2400_2_instance_994,0.0,0.0,0.0,0.0
train_2400_4_instance_1697,345.68,423.92,479.6,367.09
train_2400_4_instance_1729,48.34,51.23,61.88,45.86
train_2400_4_instance_2076,320.14,314.63,313.29,327.18
train_2400_4_instance_2481,462.58,635.78,558.46,546.22
train_2400_4_instance_3113,305.16,271.86,407.69,300.56
train_2400_4_instance_313,128.7,172.55,213.13,129.46
train_2400_4_instance_3668,680.79,720.0,703.4,720.0
train_2400_4_instance_418,57.18,51.04,71.49,56.1
train_2400_4_instance_969,48.03,35.9,41.22,48.71
train_300_16_instance_1,627.25,644.0,720.0,554.32
train_300_16_instance_1006,484.25,419.12,430.79,494.94
train_300_16_instance_1048,197.73,161.85,206.47,217.61
train_300_16_instance_1076,322.33,316.79,293.7,316.15
train_300_16_instance_1092,302.54,380.48,301.7,274.86
train_300_16_instance_1108,620.6,557.59,517.49,559.32
train_300_16_instance_1113,438.74,652.66,556.77,474.58
train_300_16_instance_1170,365.08,423.55,418.45,355.69
train_300_16_instance_1253,720.0,720.0,694.86,720.0
train_300_16_instance_1259,671.08,720.0,608.33,663.17
train_300_16_instance_1294,461.17,463.23,404.01,431.35
train_300_16_instance_1430,357.04,323.72,324.25,375.33
train_300_16_instance_1453,365.52,440.66,447.82,345.95
train_300_16_instance_1557,339.58,437.13,364.39,329.72
train_300_16_instance_1582,189.3,217.31,283.71,215.66
train_300_16_instance_1665,720.0,720.0,720.0,720.0
train_300_16_instance_1812,118.12,121.77,127.34,119.64
train_300_16_instance_1820,325.41,347.97,332.93,303.83
train_300_16_instance_1839,176.93,170.64,154.56,180.51
train_300_16_instance_196,238.81,359.34,233.56,246.12
train_300_16_instance_2017,244.14,304.79,233.87,241.07
train_300_16_instance_2019,307.98,339.39,293.27,327.91
train_300_16_instance_21,424.61,429.52,450.18,437.94
train_300_16_instance_2146,541.05,588.91,486.27,488.02
train_300_16_instance_2254,482.84,479.22,440.36,559.16
train_300_16_instance_2348,75.55,73.69,79.3,65.62
train_300_16_instance_2410,113.16,99.14,98.67,104.07
train_300_16_instance_2511,720.0,720.0,720.0,545.98
train_300_16_instance_2673,503.17,524.26,502.59,489.23
train_300_16_instance_2703,720.0,720.0,628.8,720.0
train_300_16_instance_2718,435.29,479.32,417.73,447.76
train_300_16_instance_2764,351.77,296.48,381.27,338.66
train_300_16_instance_2772,387.61,455.09,454.15,401.66
train_300_16_instance_2776,619.64,572.23,475.15,610.33
train_300_16_instance_2850,212.38,198.05,204.65,175.99
train_300_16_instance_2924,222.82,294.95,205.57,234.18
train_300_16_instance_2959,336.17,365.76,446.51,403.64
train_300_16_instance_2963,659.5,720.0,682.67,632.7
train_300_16_instance_2966,400.87,379.77,388.09,407.37
train_300_16_instance_2983,298.14,272.32,330.35,301.0
train_300_16_instance_2992,432.44,448.63,386.49,390.99
train_300_16_instance_3023,720.0,720.0,720.0,720.0
train_300_16_instance_3036,720.0,720.0,720.0,664.37
train_300_16_instance_3154,312.43,346.51,376.29,287.78
train_300_16_instance_3203,720.0,720.0,710.05,720.0
train_300_16_instance_3204,690.29,720.0,703.97,720.0
train_300_16_instance_3288,112.46,84.84,132.43,119.82
train_300_16_instance_3324,305.33,275.7,375.84,340.15
train_300_16_instance_3344,394.45,384.34,504.65,476.43
train_300_16_instance_3471,362.99,385.98,402.54,385.56
train_300_16_instance_3483,646.47,603.08,707.77,553.28
train_300_16_instance_3585,203.9,317.59,266.19,198.1
train_300_16_instance_3612,313.01,292.55,285.5,276.28
train_300_16_instance_3690,245.33,198.05,202.14,231.97
train_300_16_instance_3704,133.36,101.02,135.05,118.29
train_300_16_instance_3748,282.8,269.98,327.92,281.55
train_300_16_instance_3817,239.4,265.22,292.73,216.92
train_300_16_instance_3833,162.71,183.28,210.69,173.71
train_300_16_instance_3903,459.93,424.35,356.02,485.1
train_300_16_instance_3929,418.74,327.19,280.41,408.2
train_300_16_instance_430,421.15,515.17,391.75,379.28
train_300_16_instance_490,185.59,144.7,184.41,173.62
train_300_16_instance_498,230.6,190.2,233.74,236.8
train_300_16_instance_560,683.69,720.0,602.08,693.26
train_300_16_instance_562,720.0,720.0,693.99,720.0
train_300_16_instance_63,483.87,476.92,357.76,532.46
train_300_16_instance_672,701.36,593.47,720.0,686.18
train_300_16_instance_680,353.95,310.07,368.38,254.79
train_300_16_instance_729,297.18,310.26,313.79,343.25
train_300_16_instance_771,567.24,604.79,621.91,561.6
train_300_16_instance_814,261.61,258.82,298.88,239.31
train_300_16_instance_87,206.96,166.06,185.0,208.82
train_300_16_instance_871,208.9,208.79,258.85,227.28
